threshold,precision,recall,f1,ks,approve_rate,approved_bad_rate,tp,fp,tn,fn
0.01,0.011227853478042171,1.0,0.022206377008751912,0.3409895446902526,0.0,,64576,5686835,0,0
0.015,0.011227853478042171,1.0,0.022206377008751912,0.3409895446902526,0.0,,64576,5686835,0,0
0.019999999999999997,0.011227853478042171,1.0,0.022206377008751912,0.3409895446902526,0.0,,64576,5686835,0,0
0.024999999999999998,0.011227853478042171,1.0,0.022206377008751912,0.3409895446902526,0.0,,64576,5686835,0,0
0.03,0.011227853478042171,1.0,0.022206377008751912,0.3409895446902526,0.0,,64576,5686835,0,0
0.034999999999999996,0.011227853478042171,1.0,0.022206377008751912,0.3409895446902526,0.0,,64576,5686835,0,0
0.039999999999999994,0.01295151407541853,0.9759508176412289,0.02556377985206001,0.3409895446902526,0.15393422587952765,0.03930972788492902,63023,4803049,883786,1553
0.045,0.014708211407728784,0.9448556739345887,0.028965527390736014,0.3409895446902526,0.2787225604290843,0.04062573286760587,61015,4087348,1599487,3561
0.049999999999999996,0.017247209105013307,0.8981045589692765,0.03384446868835177,0.3409895446902526,0.4153380796468901,0.043102722710126926,57996,3304635,2382200,6580
0.05499999999999999,0.01770676094075341,0.8848178889990089,0.03471873890126597,0.3409895446902526,0.43893715820343915,0.04367344275003669,57138,3169765,2517070,7438
0.05999999999999999,0.01816220410383853,0.8757433102081269,0.035586375714022775,0.3409895446902526,0.45861650297640005,0.04423904052902571,56552,3057167,2629668,8024
0.06499999999999999,0.027897499884908028,0.544273414271556,0.05307458710789029,0.3409895446902526,0.7809473188405419,0.05261795808351705,35147,1224715,4462120,29429
0.06999999999999999,0.028078887308888623,0.5418421704658077,0.053390991738815965,0.3409895446902526,0.7833345591194926,0.05265895954372923,34990,1211142,4475693,29586
0.07499999999999998,0.033830843532348664,0.4656838453914767,0.06307913524194285,0.3409895446902526,0.8454478387999049,0.054052042826890315,30072,858821,4828014,34504
0.07999999999999999,0.03751483257912096,0.24430128840436074,0.06504185709014373,0.3409895446902526,0.9268828118873786,0.05604888036998767,15776,404751,5282084,48800
0.08499999999999998,0.037753385185782216,0.23211409811694747,0.06494367417677643,0.3409895446902526,0.9309692873627011,0.05615846802316362,14989,382035,5304800,49587
0.08999999999999998,0.039213228113700545,0.18406219028741327,0.0646526402819782,0.3409895446902526,0.9472978022262711,0.05669266975811945,11886,291226,5395609,52690
0.09499999999999999,0.04022541848985226,0.1755296085232904,0.06545156382177081,0.3409895446902526,0.9510055880200529,0.056827673327366476,11335,270452,5416383,53241
0.09999999999999998,0.03612711820933295,0.130869053518335,0.056623115577889446,0.3409895446902526,0.9593275458839579,0.057194899424185555,8451,225473,5461362,56125
0.10499999999999998,0.03671306229484147,0.09300668979187314,0.05264518843488818,0.3409895446902526,0.9715560233827838,0.05776831155496022,6006,157587,5529248,58570
0.10999999999999997,0.03730056271126309,0.05861310703666997,0.045588952658552596,0.3409895446902526,0.9823568512144237,0.05828868309719557,3785,97688,5589147,60791
0.11499999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.11999999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.12499999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.12999999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.13499999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.13999999999999999,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.145,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.15,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.155,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.15999999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.16499999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.16999999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.175,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.18,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.18499999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.18999999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.19499999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.19999999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.205,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.20999999999999996,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.21499999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.21999999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.22499999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.22999999999999998,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.235,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.23999999999999996,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.24499999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
0.24999999999999997,0.0,0.0,0.0,0.3409895446902526,1.0,0.059249836160403545,0,0,5686835,64576
